Site ID,"""Measured"" Rate (g/s)",Start Date,End Date,"""Estimated"" Volume Emitted (Kg Methane)"
ABBT0095188,0.031034613,2022-05-06,2022-05-07,2.6813905632
ABBT0095188,0.051724355,2022-01-27,2022-01-28,4.468984272
ABBT0095188,0.069827879,2022-02-05,2022-02-06,6.0331287456
ABBT0095188,0.095690057,2022-07-08,2022-07-09,8.267620924800001
ABBT0095188,0.002586218,2022-04-26,2022-04-27,0.2234492352
ABBT0095188,0.005172435,2022-11-01,2022-11-02,0.44689838400000004
ABBT0095188,0.031034613,2022-01-27,2022-01-28,2.6813905632
ABBT0095188,0.031034613,2022-02-14,2022-02-15,2.6813905632
ABBT0095188,0.069827879,2022-12-25,2022-12-26,6.0331287456
ABBT0095188,0.031034613,2022-06-28,2022-06-29,2.6813905632
ABBT0095188,0.031034613,2022-03-30,2022-03-31,2.6813905632
ABBT0095188,0.018103524,2022-02-05,2022-02-06,1.5641444736
ABBT0095188,0.018103524,2022-01-27,2022-01-28,1.5641444736
ABBT0095188,0.031034613,2022-02-05,2022-02-06,2.6813905632
ABBT0095188,0.031034613,2022-02-05,2022-02-06,2.6813905632
ABBT0095188,0.069827879,2022-02-05,2022-02-06,6.0331287456
ABBT0117688,0.095690057,2022-01-26,2022-01-27,8.267620924800001
ABBT0117688,0.031034613,2022-02-04,2022-02-05,2.6813905632
ABBT0117688,0.018103524,2022-04-26,2022-04-27,1.5641444736
ABBT0117688,0.012931088666666667,2022-01-26,2022-01-27,1.1172460608
ABBT0117688,0.012931088666666667,2022-01-26,2022-01-27,1.1172460608
ABBT0117688,0.012931088666666667,2022-01-26,2022-01-27,1.1172460608
ABBT0117688,0.095690057,2022-08-12,2022-08-13,8.267620924800001
ABBT0117688,0.031034613,2022-04-26,2022-04-27,2.6813905632
ABBT0117688,0.031034613,2022-11-19,2022-11-20,2.6813905632
ABBT0117688,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0117688,0.031034613,2022-02-04,2022-02-05,2.6813905632
ABBT0117688,0.051724355,2022-10-14,2022-10-15,4.468984272
ABBT0117688,0.051724355,2022-01-26,2022-01-27,4.468984272
ABBT0117688,0.005172435,2022-06-28,2022-06-29,0.44689838400000004
ABBT0117688,0.031034613,2022-12-26,2022-12-27,2.6813905632
ABBT0117688,0.002586218,2022-04-08,2022-04-08,0.0
ABBT0117688,0.031034613,2022-07-16,2022-07-17,2.6813905632
ABBT0117688,0.0038793265000000004,2022-03-12,2022-03-13,0.33517380960000004
ABBT0117688,0.0038793265000000004,2022-03-12,2022-03-13,0.33517380960000004
ABBT0117688,0.005172435,2022-07-07,2022-07-08,0.44689838400000004
ABBT0117688,0.031034613,2022-02-04,2022-02-05,2.6813905632
ABBT0117688,0.031034613,2022-03-12,2022-03-13,2.6813905632
ABBT0117688,0.018103524,2022-02-04,2022-02-05,1.5641444736
ABBT0117688,0.031034613,2022-08-21,2022-08-22,2.6813905632
ABBT0117688,0.002586218,2022-12-17,2022-12-18,0.2234492352
ABBT0117688,0.069827879,2022-02-13,2022-02-14,6.0331287456
ABBT0117688,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0117688,0.031034613,2022-02-13,2022-02-14,2.6813905632
ABBT0117688,0.0168104155,2022-02-13,2022-02-14,1.4524198992
ABBT0117688,0.0168104155,2022-02-13,2022-02-14,1.4524198992
ABBT0117688,0.031034613,2022-12-17,2022-12-18,2.6813905632
ABBT0117688,0.06336233499999999,2022-12-26,2022-12-27,5.474505744
ABBT0117688,0.031034613,2022-06-01,2022-06-02,2.6813905632
ABBT0117688,0.031034613,2022-11-10,2022-11-11,2.6813905632
ABBT0117688,0.002586218,2022-05-23,2022-05-24,0.2234492352
ABBT0117688,0.031034613,2022-05-14,2022-05-15,2.6813905632
ABBT0117688,0.051724355,2022-02-04,2022-02-05,4.468984272
ABBT0117688,0.031034613,2022-04-26,2022-04-27,2.6813905632
ABBT0117688,0.031034613,2022-03-12,2022-03-13,2.6813905632
ABBT0117688,0.095690057,2022-02-04,2022-02-05,8.267620924800001
ABBT0117688,0.051724355,2022-09-17,2022-09-18,4.468984272
ABBT0117688,0.031034613,2022-12-08,2022-12-09,2.6813905632
ABBT0117688,0.051724355,2022-01-26,2022-01-27,4.468984272
ABBT0117688,0.069827879,2022-12-08,2022-12-09,6.0331287456
ABBT0117688,0.031034613,2022-10-05,2022-10-06,2.6813905632
ABBT0117688,0.031034613,2022-11-29,2022-11-30,2.6813905632
ABBT0117688,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0117688,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0117688,0.018103524,2022-01-26,2022-01-27,1.5641444736
ABBT0117688,0.031034613,2022-08-12,2022-08-13,2.6813905632
ABBT0117688,0.095690057,2022-06-10,2022-06-11,8.267620924800001
ABBT0117688,0.005172435,2022-09-17,2022-09-18,0.44689838400000004
ABBT0117688,0.031034613,2022-02-04,2022-02-05,2.6813905632
ABBT0117688,0.031034613,2022-09-26,2022-09-27,2.6813905632
ABBT0117688,0.005172435,2022-03-21,2022-03-22,0.44689838400000004
ABBT0127223,0.018103524,2022-01-26,2022-01-27,1.5641444736
ABBT0127223,0.018103524,2022-01-26,2022-01-27,1.5641444736
ABBT0127223,0.031034613,2022-02-04,2022-02-05,2.6813905632
ABBT0127223,0.069827879,2022-05-23,2022-05-24,6.0331287456
ABBT0127223,0.051724355,2022-01-26,2022-01-27,4.468984272
ABBT0127223,0.005172435,2022-11-01,2022-11-02,0.44689838400000004
ABBT0127223,0.002586218,2022-02-04,2022-02-05,0.2234492352
ABBT0127223,0.031034613,2022-10-14,2022-10-15,2.6813905632
ABBT0127223,0.005172435,2022-01-26,2022-01-27,0.44689838400000004
ABBT0127223,0.031034613,2022-12-25,2022-12-26,2.6813905632
ABBT0127223,0.002586218,2022-06-19,2022-06-20,0.2234492352
ABBT0127223,0.031034613,2022-02-04,2022-02-05,2.6813905632
ABBT0127223,0.031034613,2022-11-10,2022-11-11,2.6813905632
ABBT0127223,0.031034613,2022-02-04,2022-02-05,2.6813905632
ABBT0127223,0.002586218,2022-02-22,2022-02-23,0.2234492352
ABBT0127223,0.031034613,2022-03-12,2022-03-13,2.6813905632
ABBT0127223,0.031034613,2022-02-22,2022-02-23,2.6813905632
ABBT0127223,0.095690057,2022-01-26,2022-01-27,8.267620924800001
ABBT0127223,0.002586218,2022-04-08,2022-04-09,0.2234492352
ABBT0127223,0.031034613,2022-05-05,2022-05-06,2.6813905632
ABBT0127223,0.031034613,2022-11-10,2022-11-11,2.6813905632
ABBT0127223,0.031034613,2022-02-04,2022-02-05,2.6813905632
ABBT0127223,0.031034613,2022-02-13,2022-02-14,2.6813905632
ABBT0127223,0.051724355,2022-10-05,2022-10-06,4.468984272
ABBT0127223,0.018103524,2022-02-13,2022-02-14,1.5641444736
ABBT0127223,0.031034613,2022-09-26,2022-09-27,2.6813905632
ABBT0127223,0.095690057,2022-02-22,2022-02-23,8.267620924800001
ABBT0127223,0.002586218,2022-03-03,2022-03-04,0.2234492352
ABBT0127223,0.095690057,2022-01-26,2022-01-27,8.267620924800001
ABBT0127223,0.095690057,2022-03-03,2022-03-04,8.267620924800001
ABBT0127223,0.095690057,2022-12-16,2022-12-17,8.267620924800001
ABBT0127223,0.031034613,2022-07-25,2022-07-26,2.6813905632
ABBT0127223,0.002586218,2022-08-12,2022-08-13,0.2234492352
ABBT0127223,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0127223,0.095690057,2022-12-07,2022-12-08,8.267620924800001
ABBT0127223,0.095690057,2022-12-16,2022-12-17,8.267620924800001
